# Force        
# CofR         : (0.0000000e+00 0.0000000e+00 0.0000000e+00)
#
# Time         	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1               -9.7855767e-02 -4.1075720e-02 6.1891366e-02 -9.7947566e-02 -3.7524195e-02 5.8107556e-02 9.1798520e-05 -3.5515254e-03 3.7838098e-03
2               -2.9843093e+01 -8.9786976e+00 1.6112847e+01 -2.9843762e+01 -8.9755936e+00 1.6109513e+01 6.6970270e-04 -3.1039784e-03 3.3333611e-03
3               -2.7393403e+01 -7.1131261e+00 1.5219281e+01 -2.7394597e+01 -7.1104229e+00 1.5216347e+01 1.1943723e-03 -2.7031733e-03 2.9340590e-03
4               -1.8863295e+01 -3.6313966e+00 1.0997812e+01 -1.8864805e+01 -3.6290161e+00 1.0995153e+01 1.5103290e-03 -2.3805044e-03 2.6587700e-03
5               -1.4243772e+01 -1.9237815e+00 8.6750850e+00 -1.4245437e+01 -1.9216858e+00 8.6725912e+00 1.6648472e-03 -2.0956550e-03 2.4937495e-03
6               -1.3322244e+01 -1.7019018e+00 8.2308450e+00 -1.3323946e+01 -1.7000707e+00 8.2284060e+00 1.7023855e-03 -1.8310870e-03 2.4389964e-03
7               -1.3788803e+01 -2.0227469e+00 8.5127545e+00 -1.3790491e+01 -2.0211430e+00 8.5102811e+00 1.6880896e-03 -1.6039539e-03 2.4734096e-03
8               -1.4250676e+01 -2.3323675e+00 8.8164828e+00 -1.4252341e+01 -2.3309539e+00 8.8139276e+00 1.6649461e-03 -1.4135454e-03 2.5551938e-03
9               -1.4384135e+01 -2.5138088e+00 8.9548504e+00 -1.4385785e+01 -2.5125615e+00 8.9521931e+00 1.6501294e-03 -1.2472620e-03 2.6572902e-03
10              -1.4274222e+01 -2.6000912e+00 8.9584265e+00 -1.4275867e+01 -2.5989878e+00 8.9556563e+00 1.6447060e-03 -1.1033961e-03 2.7701820e-03
11              -1.4103887e+01 -2.6601074e+00 8.9115907e+00 -1.4105533e+01 -2.6591213e+00 8.9087025e+00 1.6460148e-03 -9.8608586e-04 2.8881687e-03
12              -1.3955027e+01 -2.7133160e+00 8.8596210e+00 -1.3956684e+01 -2.7124219e+00 8.8566199e+00 1.6576986e-03 -8.9408163e-04 3.0011112e-03
13              -1.3829780e+01 -2.7514858e+00 8.8080309e+00 -1.3831461e+01 -2.7506610e+00 8.8049239e+00 1.6812840e-03 -8.2485457e-04 3.1070119e-03
14              -1.3714226e+01 -2.7688636e+00 8.7533297e+00 -1.3715940e+01 -2.7680858e+00 8.7501264e+00 1.7137270e-03 -7.7775234e-04 3.2033206e-03
15              -1.3599599e+01 -2.7658696e+00 8.6947790e+00 -1.3601352e+01 -2.7651184e+00 8.6914898e+00 1.7523530e-03 -7.5113179e-04 3.2892229e-03
16              -1.3481598e+01 -2.7459452e+00 8.6316754e+00 -1.3483393e+01 -2.7452011e+00 8.6283100e+00 1.7949268e-03 -7.4416860e-04 3.3653619e-03
17              -1.3359112e+01 -2.7145086e+00 8.5622259e+00 -1.3360951e+01 -2.7137542e+00 8.5587941e+00 1.8391451e-03 -7.5439962e-04 3.4317784e-03
18              -1.3228984e+01 -2.6747925e+00 8.4831509e+00 -1.3230868e+01 -2.6740127e+00 8.4796623e+00 1.8834504e-03 -7.7982446e-04 3.4885259e-03
19              -1.3090383e+01 -2.6307294e+00 8.3927500e+00 -1.3092310e+01 -2.6299112e+00 8.3892137e+00 1.9267137e-03 -8.1827058e-04 3.5362598e-03
20              -1.2947270e+01 -2.5886284e+00 8.2927439e+00 -1.2949239e+01 -2.5877605e+00 8.2891681e+00 1.9686933e-03 -8.6793348e-04 3.5757334e-03
21              -1.2803640e+01 -2.5537279e+00 8.1862452e+00 -1.2805647e+01 -2.5528026e+00 8.1826391e+00 2.0069815e-03 -9.2530405e-04 3.6061225e-03
22              -1.2671059e+01 -2.5305109e+00 8.0829341e+00 -1.2673105e+01 -2.5295209e+00 8.0793036e+00 2.0460888e-03 -9.8997392e-04 3.6304814e-03
23              -1.2539441e+01 -2.5153761e+00 7.9776051e+00 -1.2541522e+01 -2.5143182e+00 7.9739596e+00 2.0803025e-03 -1.0578833e-03 3.6455621e-03
24              -1.2414011e+01 -2.5055329e+00 7.8773381e+00 -1.2416124e+01 -2.5044046e+00 7.8736827e+00 2.1135992e-03 -1.1283041e-03 3.6554273e-03
25              -1.2285708e+01 -2.4955266e+00 7.7768863e+00 -1.2287850e+01 -2.4943279e+00 7.7732282e+00 2.1424591e-03 -1.1987317e-03 3.6580752e-03
26              -1.2163870e+01 -2.4854496e+00 7.6852524e+00 -1.2166041e+01 -2.4841800e+00 7.6815951e+00 2.1710727e-03 -1.2696359e-03 3.6572923e-03
27              -1.2038949e+01 -2.4735559e+00 7.5929278e+00 -1.2041145e+01 -2.4722182e+00 7.5892765e+00 2.1955372e-03 -1.3377101e-03 3.6512952e-03
28              -1.1922384e+01 -2.4625098e+00 7.5089933e+00 -1.1924604e+01 -2.4611055e+00 7.5053502e+00 2.2202127e-03 -1.4042641e-03 3.6431434e-03
29              -1.1807416e+01 -2.4507782e+00 7.4267660e+00 -1.1809657e+01 -2.4493117e+00 7.4231346e+00 2.2409971e-03 -1.4665438e-03 3.6313907e-03
30              -1.1704442e+01 -2.4401815e+00 7.3548324e+00 -1.1706704e+01 -2.4386547e+00 7.3512129e+00 2.2623168e-03 -1.5268142e-03 3.6195491e-03
31              -1.1604464e+01 -2.4292074e+00 7.2850571e+00 -1.1606744e+01 -2.4276245e+00 7.2814517e+00 2.2803897e-03 -1.5828812e-03 3.6054179e-03
32              -1.1513074e+01 -2.4188625e+00 7.2220448e+00 -1.1515372e+01 -2.4172274e+00 7.2184534e+00 2.2985112e-03 -1.6350560e-03 3.5914416e-03
