# Moment       
# CofR         : (0.0000000e+00 0.0000000e+00 0.0000000e+00)
#
# Time         	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
1               9.5331617e-03 -4.9414263e-02 -1.7826454e-02 8.8208477e-03 -4.7062659e-02 -1.5568535e-02 7.1231399e-04 -2.3516043e-03 -2.2579191e-03
2               2.6783274e+00 -1.3422479e+01 -2.9406438e+00 2.6776932e+00 -1.3420486e+01 -2.9386248e+00 6.3416676e-04 -1.9935682e-03 -2.0189537e-03
3               2.4370666e+00 -1.2398767e+01 -1.8293712e+00 2.4365017e+00 -1.2397088e+01 -1.8275639e+00 5.6490223e-04 -1.6787998e-03 -1.8073288e-03
4               1.6452237e+00 -8.6614691e+00 -3.0960924e-01 1.6447105e+00 -8.6600005e+00 -3.0798134e-01 5.1313751e-04 -1.4685527e-03 -1.6278991e-03
5               1.2163834e+00 -6.6757745e+00 3.5499685e-01 1.2159090e+00 -6.6744266e+00 3.5645488e-01 4.7437684e-04 -1.3478893e-03 -1.4580254e-03
6               1.1332282e+00 -6.3458191e+00 3.7545198e-01 1.1327810e+00 -6.3445084e+00 3.7674199e-01 4.4714252e-04 -1.3107449e-03 -1.2900157e-03
7               1.1815519e+00 -6.6266137e+00 1.8237063e-01 1.1811210e+00 -6.6252779e+00 1.8351081e-01 4.3096519e-04 -1.3358484e-03 -1.1401859e-03
8               1.2309986e+00 -6.8950649e+00 1.0849376e-02 1.2305770e+00 -6.8936724e+00 1.1861548e-02 4.2156911e-04 -1.3925297e-03 -1.0121725e-03
9               1.2500727e+00 -7.0030251e+00 -9.8834309e-02 1.2496576e+00 -7.0015630e+00 -9.7934056e-02 4.1515438e-04 -1.4620137e-03 -9.0025357e-04
10              1.2465101e+00 -6.9928741e+00 -1.6549025e-01 1.2460995e+00 -6.9913361e+00 -1.6468661e-01 4.1062254e-04 -1.5380090e-03 -8.0363832e-04
11              1.2366318e+00 -6.9437275e+00 -2.2032137e-01 1.2362237e+00 -6.9421106e+00 -2.1959650e-01 4.0811587e-04 -1.6168568e-03 -7.2486383e-04
12              1.2280840e+00 -6.8943118e+00 -2.6882516e-01 1.2276771e+00 -6.8926200e+00 -2.6816174e-01 4.0697594e-04 -1.6917938e-03 -6.6342439e-04
13              1.2212809e+00 -6.8481819e+00 -3.0459336e-01 1.2208738e+00 -6.8464205e+00 -3.0397556e-01 4.0707568e-04 -1.7613922e-03 -6.1780063e-04
14              1.2150357e+00 -6.8017283e+00 -3.2468707e-01 1.2146274e+00 -6.7999042e+00 -3.2409964e-01 4.0824694e-04 -1.8240780e-03 -5.8742959e-04
15              1.2085297e+00 -6.7536489e+00 -3.3047173e-01 1.2081193e+00 -6.7517695e+00 -3.2990060e-01 4.1044671e-04 -1.8794438e-03 -5.7113173e-04
16              1.2013241e+00 -6.7030550e+00 -3.2513509e-01 1.2009104e+00 -6.7011270e+00 -3.2456691e-01 4.1362926e-04 -1.9280234e-03 -5.6818463e-04
17              1.1933143e+00 -6.6486404e+00 -3.1267006e-01 1.1928966e+00 -6.6466704e+00 -3.1209322e-01 4.1764939e-04 -1.9699780e-03 -5.7683880e-04
18              1.1842590e+00 -6.5879494e+00 -2.9572193e-01 1.1838366e+00 -6.5859440e+00 -2.9512627e-01 4.2234558e-04 -2.0054498e-03 -5.9566174e-04
19              1.1741145e+00 -6.5196016e+00 -2.7713014e-01 1.1736868e+00 -6.5175667e+00 -2.7650701e-01 4.2764615e-04 -2.0349323e-03 -6.2312721e-04
20              1.1632351e+00 -6.4447865e+00 -2.6085373e-01 1.1628016e+00 -6.4427275e+00 -2.6019570e-01 4.3350498e-04 -2.0589397e-03 -6.5803008e-04
21              1.1519544e+00 -6.3658391e+00 -2.5028157e-01 1.1515148e+00 -6.3637620e+00 -2.4958372e-01 4.3961129e-04 -2.0770477e-03 -6.9784808e-04
22              1.1414113e+00 -6.2895276e+00 -2.4724781e-01 1.1409652e+00 -6.2874366e+00 -2.4650502e-01 4.4614639e-04 -2.0910442e-03 -7.4278790e-04
23              1.1307267e+00 -6.2123320e+00 -2.5049295e-01 1.1302742e+00 -6.2102329e+00 -2.4970336e-01 4.5247001e-04 -2.0991094e-03 -7.8959382e-04
24              1.1205613e+00 -6.1387263e+00 -2.5728065e-01 1.1201024e+00 -6.1366226e+00 -2.5644245e-01 4.5888096e-04 -2.1036912e-03 -8.3820615e-04
25              1.1100321e+00 -6.0650038e+00 -2.6469963e-01 1.1095672e+00 -6.0629001e+00 -2.6381306e-01 4.6496304e-04 -2.1036874e-03 -8.8656787e-04
26              1.1001929e+00 -5.9969850e+00 -2.7144930e-01 1.0997219e+00 -5.9948836e+00 -2.7051392e-01 4.7103383e-04 -2.1013711e-03 -9.3538525e-04
27              1.0899003e+00 -5.9284898e+00 -2.7731210e-01 1.0894236e+00 -5.9263940e+00 -2.7633000e-01 4.7666314e-04 -2.0957750e-03 -9.8209456e-04
28              1.0803660e+00 -5.8656012e+00 -2.8266677e-01 1.0798839e+00 -5.8635125e+00 -2.8163882e-01 4.8212428e-04 -2.0887284e-03 -1.0279492e-03
29              1.0707630e+00 -5.8039636e+00 -2.8742697e-01 1.0702759e+00 -5.8018841e+00 -2.8635624e-01 4.8707421e-04 -2.0794745e-03 -1.0707333e-03
30              1.0622129e+00 -5.7492761e+00 -2.9156571e-01 1.0617210e+00 -5.7472060e+00 -2.9045339e-01 4.9191392e-04 -2.0701114e-03 -1.1123135e-03
31              1.0537506e+00 -5.6962121e+00 -2.9509392e-01 1.0532544e+00 -5.6941527e+00 -2.9394304e-01 4.9626363e-04 -2.0593940e-03 -1.1508822e-03
32              1.0459528e+00 -5.6478941e+00 -2.9805217e-01 1.0454524e+00 -5.6458454e+00 -2.9686520e-01 5.0037106e-04 -2.0487819e-03 -1.1869778e-03
33              1.0383890e+00 -5.6014513e+00 -3.0044657e-01 1.0378850e+00 -5.5994142e+00 -2.9922642e-01 5.0398700e-04 -2.0370925e-03 -1.2201506e-03
34              1.0322164e+00 -5.5637691e+00 -3.0244398e-01 1.0317089e+00 -5.5617423e+00 -3.0119258e-01 5.0753324e-04 -2.0267390e-03 -1.2513995e-03
35              1.0257534e+00 -5.5243692e+00 -3.0370826e-01 1.0252429e+00 -5.5223541e+00 -3.0242892e-01 5.1050175e-04 -2.0150576e-03 -1.2793325e-03
36              1.0209310e+00 -5.4951890e+00 -3.0474127e-01 1.0204176e+00 -5.4931843e+00 -3.0343563e-01 5.1338339e-04 -2.0047274e-03 -1.3056363e-03
37              1.0156264e+00 -5.4627468e+00 -3.0498069e-01 1.0151107e+00 -5.4607536e+00 -3.0365210e-01 5.1570207e-04 -1.9931728e-03 -1.3285894e-03
38              1.0121274e+00 -5.4413402e+00 -3.0505439e-01 1.0116094e+00 -5.4393566e+00 -3.0370404e-01 5.1805128e-04 -1.9835842e-03 -1.3503540e-03
39              1.0079421e+00 -5.4153300e+00 -3.0429480e-01 1.0074223e+00 -5.4133576e+00 -3.0292618e-01 5.1976768e-04 -1.9723923e-03 -1.3686178e-03
40              1.0056361e+00 -5.4008845e+00 -3.0343374e-01 1.0051144e+00 -5.3989206e+00 -3.0204750e-01 5.2165657e-04 -1.9639177e-03 -1.3862381e-03
41              1.0024820e+00 -5.3807740e+00 -3.0172249e-01 1.0019592e+00 -5.3788207e+00 -3.0032242e-01 5.2281676e-04 -1.9533055e-03 -1.4000719e-03
42              1.0012053e+00 -5.3721519e+00 -2.9997591e-01 1.0006811e+00 -5.3702061e+00 -2.9856185e-01 5.2426538e-04 -1.9458815e-03 -1.4140546e-03
43              9.9905044e-01 -5.3577475e+00 -2.9749119e-01 9.9852541e-01 -5.3558110e+00 -2.9606658e-01 5.2503174e-04 -1.9364961e-03 -1.4246085e-03
44              9.9843235e-01 -5.3528284e+00 -2.9489432e-01 9.9790643e-01 -5.3508990e+00 -2.9345969e-01 5.2591982e-04 -1.9293788e-03 -1.4346281e-03
45              9.9701427e-01 -5.3426718e+00 -2.9148837e-01 9.9648809e-01 -5.3407513e+00 -2.9004700e-01 5.2617587e-04 -1.9204956e-03 -1.4413679e-03
46              9.9730962e-01 -5.3428690e+00 -2.8809276e-01 9.9678287e-01 -5.3409544e+00 -2.8664410e-01 5.2675059e-04 -1.9146119e-03 -1.4486622e-03
47              9.9676453e-01 -5.3377939e+00 -2.8400249e-01 9.9623780e-01 -5.3358869e+00 -2.8254934e-01 5.2673603e-04 -1.9069818e-03 -1.4531550e-03
48              9.9734020e-01 -5.3398191e+00 -2.7991540e-01 9.9681338e-01 -5.3379179e+00 -2.7845806e-01 5.2682357e-04 -1.9011906e-03 -1.4573394e-03
49              9.9729524e-01 -5.3377464e+00 -2.7538286e-01 9.9676884e-01 -5.3358525e+00 -2.7392396e-01 5.2640257e-04 -1.8939654e-03 -1.4588978e-03
50              9.9879646e-01 -5.3447620e+00 -2.7090257e-01 9.9827019e-01 -5.3428729e+00 -2.6944111e-01 5.2626453e-04 -1.8890330e-03 -1.4614615e-03
51              9.9950300e-01 -5.3469241e+00 -2.6602748e-01 9.9897724e-01 -5.3450408e+00 -2.6456564e-01 5.2575889e-04 -1.8833455e-03 -1.4618424e-03
52              1.0011175e+00 -5.3546542e+00 -2.6135804e-01 1.0005921e+00 -5.3527750e+00 -2.5989567e-01 5.2537281e-04 -1.8791687e-03 -1.4623636e-03
53              1.0019286e+00 -5.3573362e+00 -2.5634046e-01 1.0014041e+00 -5.3554630e+00 -2.5487975e-01 5.2448858e-04 -1.8731984e-03 -1.4607027e-03
54              1.0043683e+00 -5.3695146e+00 -2.5155768e-01 1.0038442e+00 -5.3676445e+00 -2.5009714e-01 5.2404601e-04 -1.8700455e-03 -1.4605410e-03
55              1.0059430e+00 -5.3764959e+00 -2.4661794e-01 1.0054198e+00 -5.3746309e+00 -2.4515944e-01 5.2312827e-04 -1.8650711e-03 -1.4585071e-03
56              1.0082764e+00 -5.3880640e+00 -2.4182991e-01 1.0077540e+00 -5.3862021e+00 -2.4037278e-01 5.2245609e-04 -1.8618731e-03 -1.4571350e-03
57              1.0099779e+00 -5.3957460e+00 -2.3696019e-01 1.0094565e+00 -5.3938888e+00 -2.3550607e-01 5.2139943e-04 -1.8571545e-03 -1.4541224e-03
58              1.0128647e+00 -5.4101434e+00 -2.3230265e-01 1.0123440e+00 -5.4082887e+00 -2.3084983e-01 5.2076782e-04 -1.8547567e-03 -1.4528174e-03
59              1.0148502e+00 -5.4191058e+00 -2.2773899e-01 1.0143304e+00 -5.4172552e+00 -2.2628894e-01 5.1973297e-04 -1.8505896e-03 -1.4500413e-03
60              1.0174819e+00 -5.4317854e+00 -2.2346246e-01 1.0169629e+00 -5.4299375e+00 -2.2201422e-01 5.1896945e-04 -1.8479778e-03 -1.4482397e-03
61              1.0194634e+00 -5.4406206e+00 -2.1911736e-01 1.0189455e+00 -5.4387766e+00 -2.1767224e-01 5.1788693e-04 -1.8439497e-03 -1.4451238e-03
62              1.0225065e+00 -5.4553407e+00 -2.1495205e-01 1.0219893e+00 -5.4534985e+00 -2.1350813e-01 5.1726712e-04 -1.8421755e-03 -1.4439197e-03
63              1.0245323e+00 -5.4640274e+00 -2.1081700e-01 1.0240160e+00 -5.4621889e+00 -2.0937542e-01 5.1626365e-04 -1.8384762e-03 -1.4415828e-03
64              1.0271374e+00 -5.4760124e+00 -2.0704526e-01 1.0266218e+00 -5.4741760e+00 -2.0560487e-01 5.1557870e-04 -1.8363511e-03 -1.4403895e-03
65              1.0290483e+00 -5.4838106e+00 -2.0346269e-01 1.0285337e+00 -5.4819780e+00 -2.0202452e-01 5.1458126e-04 -1.8325599e-03 -1.4381726e-03
66              1.0319480e+00 -5.4970299e+00 -2.0014363e-01 1.0314340e+00 -5.4951990e+00 -1.9870568e-01 5.1405942e-04 -1.8308970e-03 -1.4379504e-03
